title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Scream of Stone (Schrei aus Stein) (1991),3,1,-,-,-,-
Screamers (1995),2.652173913,46,My Fair Lady (1964),On Golden Pond (1981),Miracle on 34th Street (1994),Ben-Hur (1959)
"Search for One-eye Jimmy, The (1996)",2.666666667,3,Leaving Las Vegas (1995),"Rock, The (1996)",Chasing Amy (1997),Down Periscope (1996)
Searching for Bobby Fischer (1993),3.905797101,138,Ulee's Gold (1997),"Rainmaker, The (1997)",Cop Land (1997),G.I. Jane (1997)
"Second Jungle Book: Mowgli & Baloo, The (1997)",2,6,"Saint, The (1997)","Devil's Own, The (1997)",Groundhog Day (1993),"Nutty Professor, The (1996)"
"Secret Adventures of Tom Thumb, The (1993)",2.6,5,M*A*S*H (1970),Henry V (1989),Ulee's Gold (1997),"Boot, Das (1981)"
"Secret Agent, The (1996)",3,6,Schindler's List (1993),Dances with Wolves (1990),"Devil's Advocate, The (1997)",Mr. Holland's Opus (1995)
"Secret Garden, The (1993)",3.544303797,79,Kiss the Girls (1997),Ulee's Gold (1997),Swingers (1996),"Professional, The (1994)"
"Secret of Roan Inish, The (1994)",3.85915493,71,"Manchurian Candidate, The (1962)","Professional, The (1994)",James and the Giant Peach (1996),True Romance (1993)
Secrets & Lies (1996),4.265432099,162,"Crow, The (1994)","Ice Storm, The (1997)","Good, The Bad and The Ugly, The (1966)",Star Trek III: The Search for Spock (1984)
Selena (1997),3.625,16,Outbreak (1995),On Golden Pond (1981),Bound (1996),Natural Born Killers (1994)
Sense and Sensibility (1995),4.01119403,268,Fly Away Home (1996),Emma (1996),"Room with a View, A (1986)","Philadelphia Story, The (1940)"
Senseless (1998),2.428571429,7,"People vs. Larry Flynt, The (1996)",Chasing Amy (1997),"Great Escape, The (1963)",Mighty Aphrodite (1995)
Serial Mom (1994),2.814814815,54,Ed Wood (1994),Lawrence of Arabia (1962),"Nightmare Before Christmas, The (1993)",True Romance (1993)
Set It Off (1996),3.421052632,19,Clueless (1995),George of the Jungle (1997),Vertigo (1958),Rear Window (1954)
Seven (Se7en) (1995),3.847457627,236,Good Will Hunting (1997),"Nightmare on Elm Street, A (1984)",Cape Fear (1991),"Devil's Advocate, The (1997)"
Seven Years in Tibet (1997),3.458064516,155,Outbreak (1995),Philadelphia (1993),"River Wild, The (1994)",Interview with the Vampire (1994)
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.541666667,72,Kiss the Girls (1997),Outbreak (1995),Star Trek: The Motion Picture (1979),Ulee's Gold (1997)
"Sex, Lies, and Videotape (1989)",3.475247525,101,Crash (1996),Chinatown (1974),Harold and Maude (1971),"Adventures of Priscilla, Queen of the Desert, The (1994)"
"Sexual Life of the Belgians, The (1994)",1.5,2,Ulee's Gold (1997),Crash (1996),Emma (1996),Trainspotting (1996)
Sgt. Bilko (1996),2.567567568,74,Raging Bull (1980),"Devil's Advocate, The (1997)","Close Shave, A (1995)",Down Periscope (1996)
Shadow Conspiracy (1997),2.863636364,44,Batman Forever (1995),"Peacemaker, The (1997)","Last of the Mohicans, The (1992)",Jungle2Jungle (1997)
Shadow of Angels (Schatten der Engel) (1976),1,1,-,-,-,-
"Shadow, The (1994)",2.888888889,45,Beautiful Girls (1996),"Ghost and the Darkness, The (1996)","Room with a View, A (1986)",Cinema Paradiso (1988)
Shadowlands (1993),3.935897436,78,Rosewood (1997),Crash (1996),That Thing You Do! (1996),Kolya (1996)
Shadows (Cienie) (1988),1,1,-,-,-,-
"Shaggy Dog, The (1959)",3,30,Crash (1996),Tomorrow Never Dies (1997),Fly Away Home (1996),Bonnie and Clyde (1967)
Shall We Dance? (1937),3.705882353,17,"Rainmaker, The (1997)",Scream 2 (1997),Fly Away Home (1996),"Frighteners, The (1996)"
Shall We Dance? (1996),4.260869565,46,Patton (1970),Lone Star (1996),Miracle on 34th Street (1994),Alien: Resurrection (1997)
Shallow Grave (1994),3.818181818,66,Crimson Tide (1995),Benny & Joon (1993),Ulee's Gold (1997),"Maltese Falcon, The (1941)"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.576923077,26,Grumpier Old Men (1995),Father of the Bride Part II (1995),Outbreak (1995),"Magnificent Seven, The (1954)"
"Shawshank Redemption, The (1994)",4.445229682,283,Happy Gilmore (1996),Glory (1989),Austin Powers: International Man of Mystery (1997),"River Wild, The (1994)"
She's So Lovely (1997),2.735849057,53,"Nightmare on Elm Street, A (1984)",Tombstone (1993),Ace Ventura: Pet Detective (1994),Batman Returns (1992)
She's the One (1996),3.01369863,73,Carrie (1976),"Deer Hunter, The (1978)",Kiss the Girls (1997),Nikita (La Femme Nikita) (1990)
Shiloh (1997),2.833333333,12,My Fair Lady (1964),Crash (1996),Rear Window (1954),Raging Bull (1980)
Shine (1996),3.92248062,129,Kiss the Girls (1997),Ulee's Gold (1997),Ace Ventura: Pet Detective (1994),True Lies (1994)
"Shining, The (1980)",3.825242718,206,Bonnie and Clyde (1967),Chinatown (1974),"Peacemaker, The (1997)",True Romance (1993)
"Shooter, The (1995)",2.666666667,3,Fried Green Tomatoes (1991),Henry V (1989),Highlander (1986),"Hudsucker Proxy, The (1994)"
Shooting Fish (1997),2.5,10,Die Hard 2 (1990),Conan the Barbarian (1981),Star Trek: The Wrath of Khan (1982),GoldenEye (1995)
Shopping (1994),2,1,-,-,-,-
Short Cuts (1993),3.776119403,67,Amistad (1997),"Hunchback of Notre Dame, The (1996)","Sex, Lies, and Videotape (1989)","Lost World: Jurassic Park, The (1997)"
"Show, The (1995)",3,2,Dead Poets Society (1989),M*A*S*H (1970),Monty Python and the Holy Grail (1974),"Crow, The (1994)"
Showgirls (1995),1.956521739,23,Alien: Resurrection (1997),Rosewood (1997),Bonnie and Clyde (1967),Henry V (1989)
"Silence of the Lambs, The (1991)",4.28974359,390,Alien: Resurrection (1997),Basic Instinct (1992),"Crying Game, The (1992)",Shine (1996)
"Silence of the Palace, The (Saimt el Qusur) (1994)",3,1,-,-,-,-
"Simple Twist of Fate, A (1994)",3.2,10,Beautiful Girls (1996),Shine (1996),Kiss the Girls (1997),Scream 2 (1997)
"Simple Wish, A (1997)",1.666666667,3,Volcano (1997),"Devil's Advocate, The (1997)",Good Will Hunting (1997),"Game, The (1997)"
Singin' in the Rain (1952),3.99270073,137,"Abyss, The (1989)",Gattaca (1997),12 Angry Men (1957),Donnie Brasco (1997)
Sirens (1994),2.983050847,59,"Magnificent Seven, The (1954)",Wag the Dog (1997),"Cable Guy, The (1996)",Bound (1996)
Six Degrees of Separation (1993),3.77027027,74,Spawn (1997),Amistad (1997),Outbreak (1995),Batman (1989)
"Sixth Man, The (1997)",3.222222222,9,Mrs. Doubtfire (1993),Conan the Barbarian (1981),Father of the Bride Part II (1995),"First Wives Club, The (1996)"
Sleeper (1973),3.634146341,82,Benny & Joon (1993),Everyone Says I Love You (1996),Kiss the Girls (1997),Fly Away Home (1996)
Sleepers (1996),3.514792899,169,Kiss the Girls (1997),Murder at 1600 (1997),"Deer Hunter, The (1978)",Absolute Power (1997)
Sleepless in Seattle (1993),3.539906103,213,That Thing You Do! (1996),Tin Cup (1996),Grease (1978),"River Wild, The (1994)"
Sleepover (1995),3,1,-,-,-,-
Sliding Doors (1998),2.6,5,Dances with Wolves (1990),Everyone Says I Love You (1996),Event Horizon (1997),Kiss the Girls (1997)
Sling Blade (1996),4.198529412,136,Ed Wood (1994),Lone Star (1996),Arsenic and Old Lace (1944),Fly Away Home (1996)
"Slingshot, The (1993)",3.5,2,When Harry Met Sally... (1989),In & Out (1997),Annie Hall (1977),Dead Poets Society (1989)
Sliver (1993),2.405405405,37,G.I. Jane (1997),Stargate (1994),Eraser (1996),Bram Stoker's Dracula (1992)
Small Faces (1995),2,1,-,-,-,-
"Smile Like Yours, A (1997)",2.88,25,Lone Star (1996),"Truth About Cats & Dogs, The (1996)",To Kill a Mockingbird (1962),Back to the Future (1985)
Smilla's Sense of Snow (1997),3.166666667,48,Dumbo (1941),"Peacemaker, The (1997)","Graduate, The (1967)",Rear Window (1954)
Smoke (1995),3.621621622,74,Absolute Power (1997),Austin Powers: International Man of Mystery (1997),Conan the Barbarian (1981),My Fair Lady (1964)
Sneakers (1992),3.513333333,150,G.I. Jane (1997),Fly Away Home (1996),Good Will Hunting (1997),Rosewood (1997)
Snow White and the Seven Dwarfs (1937),3.709302326,172,Dumbo (1941),Miracle on 34th Street (1994),Pinocchio (1940),Cinderella (1950)
So Dear to My Heart (1949),3.25,4,Benny & Joon (1993),Broken Arrow (1996),Cinema Paradiso (1988),Under Siege (1992)
So I Married an Axe Murderer (1993),3.052631579,95,"Frighteners, The (1996)",Austin Powers: International Man of Mystery (1997),Jackie Chan's First Strike (1996),Mystery Science Theater 3000: The Movie (1996)
Solo (1996),1.833333333,12,Good Will Hunting (1997),"Edge, The (1997)",Kiss the Girls (1997),Secrets & Lies (1996)
Some Folks Call It a Sling Blade (1993),4.292682927,41,Sling Blade (1996),Conan the Barbarian (1981),Die Hard: With a Vengeance (1995),Seven Years in Tibet (1997)
Some Kind of Wonderful (1987),3.661016949,59,Amistad (1997),Fly Away Home (1996),"Ghost and the Darkness, The (1996)","Craft, The (1996)"
Some Like It Hot (1959),3.984375,128,"Long Kiss Goodnight, The (1996)","Cable Guy, The (1996)",Kiss the Girls (1997),Jackie Brown (1997)
Some Mother's Son (1996),4.5,2,Fried Green Tomatoes (1991),Cold Comfort Farm (1995),Philadelphia (1993),Grosse Pointe Blank (1997)
Somebody to Love (1994),1,2,-,-,-,-
Someone Else's America (1995),5,1,-,-,-,-
Something to Talk About (1995),2.769230769,26,Jackie Brown (1997),Absolute Power (1997),Fly Away Home (1996),Jungle2Jungle (1997)
Somewhere in Time (1980),3.426829268,82,Donnie Brasco (1997),Star Trek VI: The Undiscovered Country (1991),What's Eating Gilbert Grape (1993),Tombstone (1993)
Son in Law (1993),2.487179487,39,"Ice Storm, The (1997)",Cinema Paradiso (1988),Crash (1996),Big Night (1996)
Sophie's Choice (1982),3.896551724,58,Mother (1996),William Shakespeare's Romeo and Juliet (1996),Waterworld (1995),True Romance (1993)
Soul Food (1997),3.169491525,59,"Close Shave, A (1995)",Pink Floyd - The Wall (1982),"Last of the Mohicans, The (1992)",Raging Bull (1980)
"Sound of Music, The (1965)",3.765765766,222,Scream 2 (1997),Mary Poppins (1964),My Fair Lady (1964),Grease (1978)
Space Jam (1996),2.774193548,93,Secrets & Lies (1996),Jackie Chan's First Strike (1996),Ulee's Gold (1997),G.I. Jane (1997)
"Spanish Prisoner, The (1997)",4,1,-,-,-,-
Spanking the Monkey (1994),3.074074074,27,"Cable Guy, The (1996)",Platoon (1986),Alien: Resurrection (1997),"Devil's Advocate, The (1997)"
Spawn (1997),2.615384615,143,Outbreak (1995),"Crow, The (1994)",Basic Instinct (1992),Stargate (1994)
"Specialist, The (1994)",2.25,20,"Boot, Das (1981)","African Queen, The (1951)","Killing Fields, The (1984)",Gone with the Wind (1939)
Species (1995),2.866666667,45,Ulee's Gold (1997),"Philadelphia Story, The (1940)",Shine (1996),Being There (1979)
Speechless (1994),3.083333333,36,Seven Years in Tibet (1997),Absolute Power (1997),G.I. Jane (1997),Amistad (1997)
Speed (1994),3.647826087,230,Good Will Hunting (1997),Back to the Future (1985),Fly Away Home (1996),Pretty Woman (1990)
Speed 2: Cruise Control (1997),2.131578947,38,My Fair Lady (1964),Benny & Joon (1993),As Good As It Gets (1997),Conan the Barbarian (1981)
Spellbound (1945),3.933333333,30,"Edge, The (1997)","Hunchback of Notre Dame, The (1996)",Austin Powers: International Man of Mystery (1997),"Cable Guy, The (1996)"
Sphere (1998),2.926829268,41,On Golden Pond (1981),Mr. Smith Goes to Washington (1939),Miracle on 34th Street (1994),Cool Hand Luke (1967)
Spice World (1997),2.115384615,26,"Nightmare on Elm Street, A (1984)",Annie Hall (1977),Singin' in the Rain (1952),GoldenEye (1995)
Spirits of the Dead (Tre passi nel delirio) (1968),2.5,2,My Left Foot (1989),Rear Window (1954),"Professional, The (1994)",Patton (1970)
"Spitfire Grill, The (1996)",3.804123711,97,"Nightmare on Elm Street, A (1984)",Dragonheart (1996),Good Will Hunting (1997),Real Genius (1985)
Sprung (1997),2,3,-,-,-,-
Spy Hard (1996),2.511627907,43,In the Name of the Father (1993),Arsenic and Old Lace (1944),"Magnificent Seven, The (1954)","Room with a View, A (1986)"
Squeeze (1996),1.666666667,3,"Saint, The (1997)",Rosewood (1997),Murder at 1600 (1997),Fly Away Home (1996)
Stag (1997),2.111111111,9,Mars Attacks! (1996),"Shining, The (1980)",When Harry Met Sally... (1989),Chinatown (1974)
Stalingrad (1993),3.166666667,12,Mother (1996),Shine (1996),G.I. Jane (1997),"African Queen, The (1951)"
Stalker (1979),3.545454545,11,Apt Pupil (1998),Die Hard 2 (1990),"Boot, Das (1981)","Time to Kill, A (1996)"
Stand by Me (1986),3.881057269,227,Donnie Brasco (1997),Shine (1996),Platoon (1986),Die Hard: With a Vengeance (1995)
Star Kid (1997),5,3,-,-,-,-
"Star Maker, The (Uomo delle stelle, L') (1995)",3.166666667,12,Rosewood (1997),"Close Shave, A (1995)","Edge, The (1997)",Braveheart (1995)
Star Maps (1997),3.052631579,19,Waterworld (1995),"Last of the Mohicans, The (1992)",Beauty and the Beast (1991),"Nightmare Before Christmas, The (1993)"
Star Trek III: The Search for Spock (1984),3.111111111,171,Star Trek: The Motion Picture (1979),Star Trek IV: The Voyage Home (1986),Star Trek: Generations (1994),"Lost World: Jurassic Park, The (1997)"
Star Trek IV: The Voyage Home (1986),3.447236181,199,Cop Land (1997),Star Trek III: The Search for Spock (1984),Jungle2Jungle (1997),Star Trek: First Contact (1996)
Star Trek V: The Final Frontier (1989),2.396825397,63,"Ice Storm, The (1997)",Bonnie and Clyde (1967),"Rainmaker, The (1997)",Apt Pupil (1998)
Star Trek VI: The Undiscovered Country (1991),3.279503106,161,Star Trek III: The Search for Spock (1984),"Manchurian Candidate, The (1962)",Star Trek: The Motion Picture (1979),Secrets & Lies (1996)
Star Trek: First Contact (1996),3.660273973,365,Star Trek: Generations (1994),Star Trek IV: The Voyage Home (1986),Star Trek: The Wrath of Khan (1982),"Fugitive, The (1993)"
Star Trek: Generations (1994),3.336206897,116,Star Trek III: The Search for Spock (1984),"Philadelphia Story, The (1940)",Star Trek: First Contact (1996),William Shakespeare's Romeo and Juliet (1996)
Star Trek: The Motion Picture (1979),3.034188034,117,Ulee's Gold (1997),Rosewood (1997),Star Trek III: The Search for Spock (1984),"Room with a View, A (1986)"
Star Trek: The Wrath of Khan (1982),3.81557377,244,Ulee's Gold (1997),"Manchurian Candidate, The (1962)","Wrong Trousers, The (1993)",Star Trek IV: The Voyage Home (1986)
Star Wars (1977),4.359589041,584,"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Raiders of the Lost Ark (1981),Austin Powers: International Man of Mystery (1997)
Stargate (1994),3.141732283,127,"Ghost and the Darkness, The (1996)",My Best Friend's Wedding (1997),Fly Away Home (1996),"Game, The (1997)"
"Stars Fell on Henrietta, The (1995)",2.333333333,3,Brazil (1985),Everyone Says I Love You (1996),Like Water For Chocolate (Como agua para chocolate) (1992),M*A*S*H (1970)
Starship Troopers (1997),3.232227488,211,Down Periscope (1996),Grumpier Old Men (1995),Maverick (1994),Alien: Resurrection (1997)
"Steal Big, Steal Little (1995)",2.571428571,7,"First Wives Club, The (1996)","Killing Fields, The (1984)","Sex, Lies, and Videotape (1989)",Lawrence of Arabia (1962)
Stealing Beauty (1996),3.375,64,G.I. Jane (1997),Ace Ventura: Pet Detective (1994),Crash (1996),"Great Escape, The (1963)"
Steel (1997),2.157894737,19,Dave (1993),Fried Green Tomatoes (1991),Basic Instinct (1992),My Left Foot (1989)
Stefano Quantestorie (1993),1,1,-,-,-,-
Stephen King's The Langoliers (1995),2.413793103,29,"Lost World: Jurassic Park, The (1997)",Crimson Tide (1995),"Full Monty, The (1997)",Fly Away Home (1996)
"Sting, The (1973)",4.058091286,241,Butch Cassidy and the Sundance Kid (1969),Dumbo (1941),"Wrong Trousers, The (1993)",Miracle on 34th Street (1994)
Stonewall (1995),4.2,5,Much Ado About Nothing (1993),Four Weddings and a Funeral (1994),"Clockwork Orange, A (1971)","Boot, Das (1981)"
"Story of Xinghua, The (1993)",3.2,5,"Ghost and the Darkness, The (1996)",Kolya (1996),Grumpier Old Men (1995),Lost Highway (1997)
Strange Days (1995),3.264367816,87,Hoop Dreams (1994),Like Water For Chocolate (Como agua para chocolate) (1992),Spawn (1997),Strictly Ballroom (1992)
Stranger in the House (1997),2.428571429,7,"Professional, The (1994)",Crimson Tide (1995),"Game, The (1997)",True Lies (1994)
"Stranger, The (1994)",3,3,Kingpin (1996),Ulee's Gold (1997),Trainspotting (1996),Toy Story (1995)
Strawberry and Chocolate (Fresa y chocolate) (1993),3.272727273,11,Primal Fear (1996),"Last of the Mohicans, The (1992)",Dante's Peak (1997),Beauty and the Beast (1991)
Street Fighter (1994),2.75,8,Beautiful Girls (1996),Arsenic and Old Lace (1944),Chasing Amy (1997),"Devil's Own, The (1997)"
"Streetcar Named Desire, A (1951)",3.816326531,98,Alien: Resurrection (1997),True Romance (1993),Scream 2 (1997),"Devil's Advocate, The (1997)"
Strictly Ballroom (1992),4.028846154,104,"Manchurian Candidate, The (1962)",Ulee's Gold (1997),Lone Star (1996),Butch Cassidy and the Sundance Kid (1969)
Striking Distance (1993),2.583333333,12,Cop Land (1997),G.I. Jane (1997),"Peacemaker, The (1997)",Michael (1996)
Stripes (1981),3.8,5,Monty Python and the Holy Grail (1974),Under Siege (1992),Return of the Jedi (1983),L.A. Confidential (1997)
Striptease (1996),2.23880597,67,"Ice Storm, The (1997)","Edge, The (1997)",Spawn (1997),G.I. Jane (1997)
Stuart Saves His Family (1995),2.125,16,Pink Floyd - The Wall (1982),"Killing Fields, The (1984)","Close Shave, A (1995)","Devil's Advocate, The (1997)"
"Stupids, The (1996)",2,17,Harold and Maude (1971),"Adventures of Priscilla, Queen of the Desert, The (1994)",Secrets & Lies (1996),Seven Years in Tibet (1997)
SubUrbia (1997),3.666666667,12,101 Dalmatians (1996),"Magnificent Seven, The (1954)",Being There (1979),Apt Pupil (1998)
"Substance of Fire, The (1996)",3.25,4,Boogie Nights (1997),Toy Story (1995),Bound (1996),"Game, The (1997)"
"Substitute, The (1996)",2.693877551,49,"Ice Storm, The (1997)",Gattaca (1997),Jungle2Jungle (1997),Mother (1996)
Sudden Death (1995),2.723404255,47,Ulee's Gold (1997),"Ice Storm, The (1997)",Arsenic and Old Lace (1944),"Postino, Il (1994)"
Sudden Manhattan (1996),1.5,2,G.I. Jane (1997),Air Force One (1997),Good Will Hunting (1997),My Best Friend's Wedding (1997)
"Sum of Us, The (1994)",3.545454545,11,"Good, The Bad and The Ugly, The (1966)",Highlander (1986),Hoop Dreams (1994),Clear and Present Danger (1994)
"Sunchaser, The (1996)",3,1,-,-,-,-
Sunset Blvd. (1950),4.2,65,"Hunchback of Notre Dame, The (1996)",Cop Land (1997),"Frighteners, The (1996)",Chinatown (1974)
Sunset Park (1996),2.5,8,"Sound of Music, The (1965)",Die Hard 2 (1990),Pretty Woman (1990),"Firm, The (1993)"
Super Mario Bros. (1993),2.076923077,26,Amistad (1997),Kolya (1996),G.I. Jane (1997),Seven Years in Tibet (1997)
Supercop (1992),3.538461538,65,Mother (1996),In & Out (1997),"Devil's Advocate, The (1997)",Beavis and Butt-head Do America (1996)
Surviving Picasso (1996),3.105263158,19,Batman Returns (1992),"Mask, The (1994)","Crow, The (1994)","Ice Storm, The (1997)"
Surviving the Game (1994),2.454545455,11,Fly Away Home (1996),One Fine Day (1996),Father of the Bride Part II (1995),Ed Wood (1994)
Suture (1993),2.25,4,Harold and Maude (1971),Under Siege (1992),"Sex, Lies, and Videotape (1989)",Chinatown (1974)
"Swan Princess, The (1994)",2.857142857,7,Henry V (1989),Harold and Maude (1971),"Killing Fields, The (1984)",Little Women (1994)
"Sweet Hereafter, The (1997)",3.772727273,44,Pinocchio (1940),Conan the Barbarian (1981),Michael (1996),One Fine Day (1996)
Sweet Nothing (1995),3,1,-,-,-,-
Swept from the Sea (1997),2.428571429,7,"Boot, Das (1981)",Spawn (1997),"Devil's Own, The (1997)",Chasing Amy (1997)
Swimming with Sharks (1995),3.574468085,47,Being There (1979),Amistad (1997),G.I. Jane (1997),My Left Foot (1989)
Swingers (1996),3.828025478,157,Harold and Maude (1971),"Maltese Falcon, The (1941)",Outbreak (1995),Alien (1979)
Swiss Family Robinson (1960),3.358974359,39,Bound (1996),Everyone Says I Love You (1996),Ulee's Gold (1997),"Edge, The (1997)"
Switchback (1997),2.823529412,17,Absolute Power (1997),"Close Shave, A (1995)",Clueless (1995),Welcome to the Dollhouse (1995)
Switchblade Sisters (1975),3.230769231,13,"Ice Storm, The (1997)",Good Will Hunting (1997),Apt Pupil (1998),Amistad (1997)
"Sword in the Stone, The (1963)",3.329268293,82,Kiss the Girls (1997),Scream 2 (1997),In & Out (1997),Primal Fear (1996)
"Symphonie pastorale, La (1946)",1,1,-,-,-,-
T-Men (1947),1,1,-,-,-,-
Tainted (1998),3,1,-,-,-,-
Tales From the Crypt Presents: Demon Knight (1995),2.976744186,43,"Room with a View, A (1986)",In & Out (1997),101 Dalmatians (1996),Grumpier Old Men (1995)
Tales from the Crypt Presents: Bordello of Blood (1996),2.636363636,55,Arsenic and Old Lace (1944),"Deer Hunter, The (1978)",Scream 2 (1997),"Peacemaker, The (1997)"
Tales from the Hood (1995),2.037037037,27,Kolya (1996),In & Out (1997),Seven Years in Tibet (1997),Mr. Smith Goes to Washington (1939)
Talking About Sex (1994),1.8,5,"Godfather, The (1972)",Rosewood (1997),Secrets & Lies (1996),"Full Monty, The (1997)"
"Tango Lesson, The (1997)",3.384615385,13,Down Periscope (1996),That Thing You Do! (1996),George of the Jungle (1997),Cop Land (1997)
Tank Girl (1995),2.853658537,41,"Rainmaker, The (1997)","Ice Storm, The (1997)",Amistad (1997),"Edge, The (1997)"
Target (1995),3,1,-,-,-,-
Taxi Driver (1976),4.120879121,182,"Cable Guy, The (1996)",Chinatown (1974),Psycho (1960),L.A. Confidential (1997)
Telling Lies in America (1997),3.230769231,13,"River Wild, The (1994)",Face/Off (1997),Interview with the Vampire (1994),Heat (1995)
Temptress Moon (Feng Yue) (1996),1.666666667,3,Chasing Amy (1997),"English Patient, The (1996)",Sense and Sensibility (1995),Star Wars (1977)
Terminal Velocity (1994),2.676470588,34,Kolya (1996),"Close Shave, A (1995)","Philadelphia Story, The (1940)","First Wives Club, The (1996)"
Terminator 2: Judgment Day (1991),4.006779661,295,"Terminator, The (1984)","Craft, The (1996)","Firm, The (1993)",True Lies (1994)
"Terminator, The (1984)",3.933554817,301,Terminator 2: Judgment Day (1991),Young Guns (1988),Scream 2 (1997),"Frighteners, The (1996)"
Terror in a Texas Town (1958),1,1,-,-,-,-
Tetsuo II: Body Hammer (1992),2.666666667,6,Sleepers (1996),"Edge, The (1997)",Down Periscope (1996),Leaving Las Vegas (1995)
That Darn Cat! (1965),2.473684211,19,Austin Powers: International Man of Mystery (1997),Spawn (1997),Jackie Brown (1997),Jungle2Jungle (1997)
That Darn Cat! (1997),2.463414634,41,"Sex, Lies, and Videotape (1989)",Austin Powers: International Man of Mystery (1997),Kingpin (1996),Ace Ventura: Pet Detective (1994)
That Old Feeling (1997),3.363636364,11,In the Line of Fire (1993),Top Gun (1986),Crash (1996),Lost Highway (1997)
That Thing You Do! (1996),3.465909091,176,Sleepless in Seattle (1993),Batman (1989),Waterworld (1995),Miracle on 34th Street (1994)
The Courtyard (1995),1,1,-,-,-,-
The Deadly Cure (1996),3,2,"English Patient, The (1996)",Mighty Aphrodite (1995),Air Force One (1997),Contact (1997)
The Innocent (1994),3,4,"Magnificent Seven, The (1954)",Patton (1970),Outbreak (1995),Nikita (La Femme Nikita) (1990)
Theodore Rex (1995),1.4,5,Sneakers (1992),In & Out (1997),Evita (1996),Star Trek: First Contact (1996)
They Made Me a Criminal (1939),5,1,-,-,-,-
"Thieves (Voleurs, Les) (1996)",3.714285714,7,Raging Bull (1980),Star Trek: The Wrath of Khan (1982),Die Hard: With a Vengeance (1995),Crash (1996)
"Thin Blue Line, The (1988)",3.771428571,35,"Crying Game, The (1992)","Hunchback of Notre Dame, The (1996)",Fly Away Home (1996),Secrets & Lies (1996)
"Thin Line Between Love and Hate, A (1996)",2.416666667,12,"Shining, The (1980)",Dances with Wolves (1990),"Full Monty, The (1997)",Hoop Dreams (1994)
"Thin Man, The (1934)",4.15,60,Welcome to the Dollhouse (1995),On Golden Pond (1981),"Ice Storm, The (1997)",William Shakespeare's Romeo and Juliet (1996)
Things to Do in Denver when You're Dead (1995),3.154929577,71,Cinema Paradiso (1988),"Ice Storm, The (1997)","Philadelphia Story, The (1940)",Ulee's Gold (1997)
Thinner (1996),2.448979592,49,Outbreak (1995),Miracle on 34th Street (1994),"Deer Hunter, The (1978)","Hudsucker Proxy, The (1994)"
"Third Man, The (1949)",4.333333333,72,Ben-Hur (1959),Ulee's Gold (1997),Bram Stoker's Dracula (1992),"Manchurian Candidate, The (1962)"
Thirty-Two Short Films About Glenn Gould (1993),3.944444444,18,Jungle2Jungle (1997),Star Trek: Generations (1994),"Saint, The (1997)",Stargate (1994)
This Is Spinal Tap (1984),3.905759162,191,"Edge, The (1997)",Chinatown (1974),Carrie (1976),My Best Friend's Wedding (1997)
"Thousand Acres, A (1997)",3.405405405,37,"Wrong Trousers, The (1993)",Fantasia (1940),Singin' in the Rain (1952),"Professional, The (1994)"
"Three Caballeros, The (1945)",3.272727273,22,Bound (1996),Rosewood (1997),Mimic (1997),Grumpier Old Men (1995)
Three Colors: Blue (1993),4.015625,64,One Fine Day (1996),Crash (1996),Henry V (1989),"Frighteners, The (1996)"
Three Colors: Red (1994),4.060240964,83,What's Eating Gilbert Grape (1993),Conan the Barbarian (1981),"Hunchback of Notre Dame, The (1996)",Die Hard 2 (1990)
Three Colors: White (1994),3.86440678,59,Ulee's Gold (1997),Outbreak (1995),Michael (1996),"Ghost and the Darkness, The (1996)"
Three Lives and Only One Death (1996),3,1,-,-,-,-
"Three Musketeers, The (1993)",3.303370787,89,Scream 2 (1997),Mimic (1997),Murder at 1600 (1997),"Manchurian Candidate, The (1962)"
Three Wishes (1995),3.222222222,9,"Hudsucker Proxy, The (1994)",Brazil (1985),Star Trek: Generations (1994),Sleepers (1996)
Threesome (1994),2.838709677,31,Kolya (1996),Being There (1979),Cool Hand Luke (1967),Evita (1996)
Tie Me Up! Tie Me Down! (1990),3.1875,32,Down Periscope (1996),Quiz Show (1994),Fly Away Home (1996),Star Trek: The Motion Picture (1979)
"Tie That Binds, The (1995)",2.428571429,7,Little Women (1994),"Bridge on the River Kwai, The (1957)",Carrie (1976),That Thing You Do! (1996)
Tigrero: A Film That Was Never Made (1994),1,1,-,-,-,-
Time Tracers (1995),1.5,2,Scream 2 (1997),Scream (1996),"Peacemaker, The (1997)",Air Force One (1997)
"Time to Kill, A (1996)",3.685344828,232,Young Guns (1988),Outbreak (1995),Gattaca (1997),Phenomenon (1996)
Timecop (1994),3.096774194,31,Some Like It Hot (1959),Singin' in the Rain (1952),Amistad (1997),Mimic (1997)
Tin Cup (1996),3.160621762,193,Sleepless in Seattle (1993),Young Guns (1988),Waterworld (1995),Mr. Smith Goes to Washington (1939)
"Tin Drum, The (Blechtrommel, Die) (1979)",3.7,40,Down Periscope (1996),True Romance (1993),"Wrong Trousers, The (1993)",Cop Land (1997)
Tin Men (1987),3.078431373,51,Mystery Science Theater 3000: The Movie (1996),Ulee's Gold (1997),"Close Shave, A (1995)","Craft, The (1996)"
